,character_name
Harry Potter,230
Ron Weasley,120
Hermione Granger,92
Rubeus Hagrid,81
Minerva McGonagall,31
Albus Dumbledore,24
Vernon Dursley,23
Dudley Dursley,17
Quirinus Quirrell,17
Neville Longbottom,14
Draco Malfoy,13
Petunia Dursley,13
Rolanda Hooch,12
Severus Snape,9
Lee Jordan,8
Voldemort,8
Oliver Wood,8
Sorting Hat,7
Percy Weasley,6
Argus Filch,6
Nearly Headless Nick,5
Molly Weasley,5
Firenze,5
Fred Weasley,5
Seamus Finnigan,5
Filius Flitwick,4
George Weasley,4
Garrick Ollivander,3
Griphook,3
Tom,2
Goblin,2
Class,2
Trolley lady,1
Marcus Flint,1
Man,1
Snake,1
Ginny Weasley,1
Doris Crockford,1
Guard,1
The Fat Lady,1
Bloody Baron,1
